iter	Logloss
239	0.4362410853
240	0.4360503279
241	0.4358803894
242	0.4357130269
243	0.4355446879
244	0.4354377132
245	0.4352589726
246	0.4351563428
247	0.4349907246
248	0.4348601815
249	0.4347161195
250	0.4345318026
251	0.434383086
252	0.4342258813
253	0.4340300695
254	0.43388944
255	0.4337409454
256	0.4335549001
257	0.4334321258
258	0.4332745009
259	0.4330934341
260	0.4329353786
261	0.4327922632
262	0.4326301466
263	0.4325021289
264	0.432339104
265	0.4322270803
266	0.4320597347
267	0.4318887653
268	0.4317171948
269	0.431535373
270	0.4313985193
271	0.431277206
272	0.4311139756
273	0.4309550136
274	0.4307979745
275	0.4306623998
276	0.4304812805
277	0.4303402904
278	0.4301993867
279	0.4300813433
280	0.429938833
281	0.4298010768
282	0.4296235053
283	0.4294621547
284	0.4293163857
285	0.4291822164
286	0.4290454034
287	0.4289158271
288	0.4286323582
289	0.4285135878
290	0.4283847934
291	0.4282316045
292	0.4280764143
293	0.4279168534
294	0.4277618315
295	0.4276080642
296	0.4274445201
297	0.4273273416
298	0.4271614372
299	0.4269921636
300	0.4268440436
301	0.4267161947
302	0.4265554757
303	0.4263668311
304	0.4262395743
305	0.4260821905
306	0.4259766909
307	0.4258150259
308	0.4256592795
309	0.4254955039
310	0.4253671059
311	0.4252250998
312	0.42508596
313	0.4249422086
314	0.4248086994
315	0.4246826553
316	0.4245390478
317	0.4243812123
318	0.424241012
319	0.4240963273
320	0.4239617533
321	0.4238190937
322	0.4237089987
323	0.4235428713
324	0.423404309
325	0.4232533981
326	0.4231019801
327	0.4229883206
328	0.4228570627
329	0.4226937309
330	0.4226003612
331	0.4224678712
332	0.4223023624
333	0.422188107
334	0.4220847258
335	0.4219349557
336	0.4218073393
337	0.4216943316
338	0.4215712624
339	0.4214374731
340	0.4213119741
341	0.4211751437
342	0.4210641045
343	0.4209486518
344	0.4208174198
345	0.4206664353
346	0.4205451987
347	0.4203923098
348	0.4202921462
349	0.4201685146
350	0.4200379219
351	0.4199456006
352	0.4198250497
353	0.4196874423
354	0.4195350831
355	0.4194184154
356	0.4192408947
357	0.4191115362
358	0.4189658207
359	0.418863858
360	0.4187618457
361	0.4186292578
362	0.4185125356
363	0.4183706824
364	0.4182065049
365	0.4180714119
366	0.417954043
367	0.4178125504
368	0.4176795495
369	0.4175303569
370	0.4174257264
371	0.4173335522
372	0.4172448833
373	0.4171030275
374	0.4169606448
375	0.4168739416
376	0.4167695561
377	0.4166322348
378	0.4165488601
379	0.416437646
380	0.4162935059
381	0.4161895201
382	0.416051773
383	0.4159303237
384	0.4158074583
385	0.4156853597
386	0.4155501699
387	0.4154551167
388	0.4153340011
389	0.4152116746
390	0.4150644512
391	0.4149363703
392	0.4148045317
393	0.4146827019
394	0.4145757805
395	0.4144614749
396	0.4143645374
397	0.4142410508
398	0.4141196865
399	0.4139958491
400	0.413881634
401	0.4137453706
402	0.4136412886
403	0.4135468506
404	0.4134006777
405	0.4132638507
406	0.4131345913
407	0.4130161878
408	0.4128897565
409	0.4127771024
410	0.4126608976
411	0.4125247366
412	0.4124182622
413	0.4123253178
414	0.4122115632
415	0.4121033732
416	0.4120007978
417	0.4118632956
418	0.4117548921
419	0.4116528915
420	0.4115385606
421	0.4114053684
422	0.4112799768
423	0.4111598736
424	0.4110548963
425	0.410947875
426	0.4108238074
427	0.4106875651
428	0.4105828703
429	0.410485721
430	0.410354588
431	0.4102325933
432	0.4101212768
433	0.41000543
434	0.4098614966
435	0.4097486132
436	0.4096321749
437	0.4095479752
438	0.409448765
439	0.4093197537
440	0.4092155493
441	0.4091286075
442	0.4090118251
443	0.4088990945
444	0.4087619422
445	0.4086749411
446	0.4085723906
447	0.4084507016
448	0.4083549935
449	0.408241233
450	0.4081505644
451	0.4080367852
452	0.4079294715
453	0.4078361536
454	0.4077222844
455	0.4076063687
456	0.4075039452
457	0.4074118798
458	0.4073019684
459	0.4072005688
460	0.4070996511
461	0.4070060115
462	0.4069062357
463	0.4067945476
464	0.4066999701
465	0.4065841391
466	0.4064766927
467	0.4063665333
468	0.406249406
469	0.4061189731
470	0.406026572
471	0.4059145163
472	0.4058217677
473	0.4057035002
474	0.4055675963
475	0.4054550807
476	0.4053284874
477	0.4052149083
478	0.4051073011
479	0.4049999379
480	0.4049094297
481	0.4047828253
482	0.404670175
483	0.404571258
484	0.4044362324
485	0.4043274104
486	0.4042103216
487	0.4041208849
488	0.4040102639
489	0.4038906802
490	0.4038095913
491	0.4037323146
492	0.4036035259
493	0.4034956329
494	0.4034071886
495	0.4033027594
496	0.4031923801
497	0.4030993523
498	0.4030081302
499	0.402941136
500	0.4028468714
501	0.4027203337
502	0.4026330984
503	0.4025365523
504	0.4024651454
505	0.4023511245
506	0.4022558395
507	0.4021587361
508	0.4020553527
509	0.4019680907
510	0.4018578985
511	0.4017526244
512	0.4016370007
513	0.4015368364
514	0.4014171818
515	0.4012935045
516	0.4012089465
517	0.4010906163
518	0.4009980874
519	0.4009005183
520	0.4007986112
521	0.4006889357
522	0.400594306
523	0.400487027
524	0.4003879502
525	0.4002657139
526	0.4001641989
527	0.4000405333
528	0.3999595871
529	0.3998832538
530	0.3997724351
531	0.3996639724
532	0.3995613157
533	0.3994660886
534	0.3993532289
535	0.3992670018
536	0.3991860529
537	0.3990838983
538	0.3989790326
539	0.3988873406
540	0.3987978836
541	0.3987002797
542	0.3986058264
543	0.398505245
544	0.398415483
545	0.398312752
546	0.3982009934
547	0.3981048356
548	0.3980134691
549	0.3979208465
550	0.3978176562
551	0.3977221074
552	0.3976124665
553	0.39751411
554	0.3974050419
555	0.3973215492
556	0.3972148548
557	0.3971295648
558	0.3970471784
559	0.3969454588
560	0.3968460708
561	0.3967287013
562	0.3966468218
563	0.39653886
564	0.3964404272
565	0.3963163296
566	0.3962144757
567	0.3960994263
568	0.3960069656
569	0.3959171058
570	0.3958243191
571	0.3957377699
572	0.3956677199
573	0.3955497333
574	0.3954514863
575	0.395348194
576	0.3952529199
577	0.3951522734
578	0.3950573135
579	0.3949437224
580	0.3948341241
581	0.3947322656
582	0.3946248642
583	0.3945231371
584	0.3944448915
585	0.3943583091
586	0.3942737504
587	0.3941582708
588	0.3940755779
589	0.393969255
590	0.3938972523
591	0.3938119837
592	0.3937183398
593	0.3936213043
594	0.3935412955
595	0.3934486302
596	0.3933529044
597	0.3932501154
598	0.3931353372
599	0.3930442662
600	0.392964417
601	0.3928754598
602	0.3927714049
603	0.3926882486
604	0.3926011692
605	0.3925241286
606	0.3924419323
607	0.3923575622
608	0.3922674208
609	0.3921797353
610	0.3920966698
611	0.392024822
612	0.3919241237
613	0.3918478468
614	0.3917536964
615	0.3916666363
616	0.3915543384
617	0.3914632964
618	0.3913735432
619	0.3912944052
620	0.3912164976
621	0.3911274955
622	0.3910240786
623	0.3909431131
624	0.3908551632
625	0.3907703668
626	0.3906778892
627	0.3906088504
628	0.3904961704
629	0.3903905321
630	0.3902963777
631	0.3901998709
632	0.3901163909
633	0.3900096342
634	0.3899230242
635	0.3898391453
636	0.3897370877
637	0.3896601311
638	0.3895663358
639	0.3894656628
640	0.3893771278
641	0.3893062342
642	0.3892117247
643	0.3891135584
644	0.3890246624
645	0.3889451734
646	0.3888473975
647	0.3887654307
648	0.388677589
649	0.3885706131
650	0.3884851204
651	0.3884063125
652	0.3883324314
653	0.3882492437
654	0.3881435454
655	0.3880530928
656	0.3879545338
657	0.3878506848
658	0.387769595
659	0.3876941923
660	0.387598607
661	0.3875179543
662	0.3874268674
663	0.3873318121
664	0.3872474441
665	0.3871395958
666	0.3870652721
667	0.386973147
668	0.3869031868
669	0.3868085671
670	0.3867183579
671	0.3866355944
672	0.3865435953
673	0.3864689102
674	0.3863775522
675	0.386288088
676	0.3861954052
677	0.3861108172
678	0.3860429055
679	0.3859505327
680	0.3858584373
681	0.3857880089
682	0.3857098469
683	0.3856201141
684	0.3855643398
685	0.3854861368
686	0.3854130304
687	0.3853150548
688	0.3852478804
689	0.3851529448
690	0.3850788177
691	0.3850110041
692	0.3849383729
693	0.3848640929
694	0.3847769659
695	0.3846969409
696	0.3846199531
697	0.3845594842
698	0.3843888165
699	0.384291597
700	0.3842190003
701	0.3841346869
702	0.3840479854
703	0.3839452571
704	0.3838742495
705	0.3837842026
706	0.3837046155
707	0.3836076875
708	0.3835241939
709	0.3834378878
710	0.3833472931
711	0.3832529237
712	0.3831569432
713	0.3830776323
714	0.3829797855
715	0.3828935653
716	0.3828150251
717	0.3827259165
718	0.3826410708
719	0.3825702935
720	0.3825060434
721	0.3824295983
722	0.3823198648
723	0.3822323478
724	0.3821496693
725	0.3820837339
726	0.3820019813
727	0.381931227
728	0.3818428859
729	0.3817461824
730	0.3816542966
731	0.3815474737
732	0.3814656385
733	0.3814029769
734	0.3813295946
735	0.3812658263
736	0.3811948225
737	0.3811288035
738	0.381055176
739	0.3809953988
740	0.3809132575
741	0.3808428129
742	0.3807633344
743	0.3806724189
744	0.3805860879
745	0.3805103984
746	0.3804077159
747	0.3803138363
748	0.3802276266
749	0.380148289
750	0.3800493509
751	0.379969291
752	0.3799031749
753	0.3798356644
754	0.3797473028
755	0.3796423979
756	0.3795505935
757	0.3794662616
758	0.3793982471
759	0.3793275527
760	0.3792448512
761	0.3791608574
762	0.3790739718
763	0.3789954982
764	0.3789034496
765	0.3788066638
766	0.3787294738
767	0.3786521657
768	0.3785646977
769	0.3784781817
770	0.378386853
771	0.3783117694
772	0.3782258211
773	0.3781356643
774	0.3780413494
775	0.3779605671
776	0.3778610189
777	0.37778285
778	0.3777055158
779	0.3776280792
780	0.3775462112
781	0.3774767834
782	0.3773852163
783	0.3773084895
784	0.377231278
785	0.3771365931
786	0.3770548283
787	0.3769828456
788	0.3769023016
789	0.3768098748
790	0.3767310885
791	0.3766524787
792	0.3765703811
793	0.3764880808
794	0.3764239681
795	0.3763461647
796	0.3762606687
797	0.3761823712
798	0.3760874371
799	0.3760152871
800	0.3759276503
801	0.375861313
802	0.3757876464
803	0.375701203
804	0.3756311989
805	0.3755574719
806	0.3754720742
807	0.3753941737
808	0.3753216886
809	0.3752333361
810	0.3751754998
811	0.3750929008
812	0.3750205047
813	0.3749477499
814	0.3748688332
815	0.3747938303
816	0.3747160715
817	0.3746271946
818	0.3745621782
819	0.3745006459
820	0.3744149447
821	0.3743485195
822	0.3742771551
823	0.3741962489
824	0.3741096782
825	0.374023141
826	0.3739322744
827	0.3738382812
828	0.3737589384
829	0.3736711981
830	0.3735943815
831	0.3735047652
832	0.3734151048
833	0.3733399688
834	0.3732591319
835	0.3731698486
836	0.3730925614
837	0.373016272
838	0.3729323772
839	0.3728666539
840	0.3728200368
841	0.3727520829
842	0.3726882656
843	0.3726271843
844	0.3725387016
845	0.3724621992
846	0.3723920435
847	0.3723108162
848	0.3722446361
849	0.3721660932
850	0.3720850325
851	0.372006851
852	0.3719257911
853	0.3718612542
854	0.3718021254
855	0.3717218356
856	0.3716525479
857	0.371579968
858	0.371513652
859	0.3714304677
860	0.3713518527
861	0.3712866648
862	0.3712244574
863	0.3711575793
864	0.3710902683
865	0.3710061248
866	0.3709150676
867	0.3708458879
868	0.3707662057
869	0.3706944073
870	0.3706262395
871	0.3705654436
872	0.3704934384
873	0.3704156774
874	0.3703454588
875	0.3702855776
876	0.3702071966
877	0.370118909
878	0.3700274937
879	0.3699535103
880	0.3698680226
881	0.3698053829
882	0.3697141068
883	0.3696157286
884	0.3695321965
885	0.3694578102
886	0.3693648475
887	0.3692873754
888	0.3692122249
889	0.3691365804
890	0.3690514505
891	0.3689714394
892	0.3688935533
893	0.3688217973
894	0.3687631954
895	0.3686957026
896	0.3686168649
897	0.3685574205
898	0.3684796467
899	0.3684148536
900	0.3683295396
901	0.3682452227
902	0.3681745808
903	0.3681056141
904	0.3680410523
905	0.3679781248
906	0.367909387
907	0.3678325801
908	0.3677515484
909	0.367677962
910	0.3675916978
911	0.3674940368
912	0.3674070101
913	0.3673307303
914	0.3672542636
915	0.3671821245
916	0.367120826
917	0.3670425202
918	0.3669696432
919	0.3668910076
920	0.3668195536
921	0.3667398552
922	0.3666661489
923	0.3665850781
924	0.366506582
925	0.3664522067
926	0.3663828067
927	0.3663128962
928	0.3662527274
929	0.3661952928
930	0.3661281726
931	0.3660579791
932	0.3659845918
933	0.3659088216
934	0.3658347921
935	0.365764171
936	0.3656910134
937	0.365619372
938	0.3655371284
939	0.3654585851
940	0.3653797572
941	0.3653076399
942	0.3652389107
943	0.3651600555
944	0.3650950663
945	0.3650253311
946	0.3649489157
947	0.3648820124
948	0.3648114021
949	0.364753961
950	0.364683029
951	0.3646221819
952	0.364544631
953	0.3644615856
954	0.3643831946
955	0.3643111847
956	0.3642454043
957	0.3641762476
958	0.3641082439
959	0.364038001
960	0.3639711742
961	0.3638983614
962	0.3638337359
963	0.3637504815
964	0.3636896177
965	0.3636227834
966	0.3635633849
967	0.3635008181
968	0.3634335358
969	0.3633616818
970	0.3632910966
971	0.3632236266
972	0.3631511857
973	0.3630672333
974	0.362998066
975	0.3629176769
976	0.3628521874
977	0.3628002074
978	0.3627222614
979	0.3626488544
980	0.3625819947
981	0.3625020425
982	0.3624317255
983	0.3623539526
984	0.3622796428
985	0.3622195675
986	0.3621421597
987	0.3620746443
988	0.3619930623
989	0.3619180837
990	0.361837808
991	0.361774521
992	0.3617011736
993	0.3616009936
994	0.3615288095
995	0.3614478524
996	0.3613736417
997	0.3612861665
998	0.3612267603
999	0.361158589
